Code,Description,ViolationGroup
1,Improper storage trash: res,trash
21a,illegal parking prop owner 1,rules
24,Overgrown Weeds On Property,maint
2,Improper storage trash: com,trash
3,Overfilling of barrel/dumpster,trash
116.2,Unsafe Structure,safety
21b,illegal parking prop owner 2,rules
22b,Unregistered motor vehicles- 2,rules
40,Failure to secure a Re-Inspect,rules
26,Non-Emergency Auto Repair,rules
102.4,Referenced Codes & Standards,rules
27a,Occupying City prop wo permit,rules
22a,Unregistered motor vehicles-1,rules
9a,Illegal dumping < 1 cubic yd,trash
901.4,Maintenance-Sprinkler,maint
102.8,Maintenance,maint
7,Failure clean sidewalk com,maint
105.1,Failure to Obtain Permit,rules
33a,Graffiti on building- 1,vandal
29,Illegal Vending,rules
3-Apr,Building or Use of Premise req,rules
27c,Occupying City prop wo permit,rules
27b,Occupying City prop wo permit,rules
1003.6,Means of Egress,safety
8,Trash illegally dump container,trash
CMR410.550 B,"Extermination of Insects, Rodents and Skunks - The owner of a dwelling containing two or more dwelling units shall maintain it and its premises free from all rodents, cockroaches and insect infestation and shall be responsible for exterminating them",maint
CMR410.602 A,"Maint. of Areas Free from Garbage & Rubbish(Land) - The owner of any parcel of land, vacant or otherwise, shall be responsible for maintaining such parcel of land in a clean and sanitary condition.",trash
107.4,Failed to comply w PRMT Terms,rules
17a,Failure clear sidewalk - snow,neg
33b,Graffiti on building- 2,vandal
19a,Site Cleanliness license – WAR,trash
9072.11.1,Smoke Alarms,safety
1008.1.9,Door operations-Egress doors,safety
104.6,Right of Entry,rules
23a,Shopping Cart - 1,neg
4,Maint a dumpster wopermit,trash
Article 4 Section 4-3,No use of premises permit:,rules
101.4.4,Maintenance,maint
1001.3.2,Maintenance of Exterior,maint
25,No Number On A Building,rules
20a,Large building recycling- 1,trash
17c,Failure clear sidewalk - snow,neg
17b,Failure clear sidewalk - snow:,neg
15c,Removal snow private property,neg
15a,Removal snow private prop,neg
16b,Removal snow non-res property,maint
15b,Removal snow private property,neg
905.3,Testing&Maintenance Sprinklers,safety
121.2,Unsafe and Dangerous,safety
1015.1,Exits,safety
15d,Removal snow private property,maint
16a,Removal snow non-res property,neg
3307.1,Protection of Adj. Property,neg
116.1,Unsafe Structure,safety
3307,Protection of Adj. Property,neg
44,Failure To Register,rules
r109.4,Approval required,rules
116.3,Unsafe Structure,safety
907.8,Fire Protection Systems,safety
9-9.13,Reg. Access to Roof Areas,safety
1001.3.3,Testing & Certification,rules
110.7,Periodic Inspections,rules
1402.1,IEBC,safety
R106.3.1,Approved Construction Doc.,rules
r310.1,Emergency escape and rescue,safety
18,Posting signs wo authority,rules
19b,Site Cleanliness license – VIO,neg
1020.1,Exit Passageways,safety
9b,Illegal dumping 1-5 cubic yd.:,trash
665,Acts 1956 as Amended,rules
115.1,Unsafe Structure,safety
903.5,Fire Protection Systems,safety
Article 8 Section 76,Use of Premises,rules
1007.1,Accessible Means of Egress,safety
1029.3,Maximum Height from Floor,rules
104.4,Retaining Wall,rules
111.1,Certificate of Occupancy,rules
1008.1.9.3,Locks and Latches,safety
R312.2.1,Guards,safety
Ch.143-3L,Elec work w/o per,rules
CMR410.351 A,"Owners Installation/Maintenance Responsibility - All facilities and equipment which are required by owner including but not limited to water, gas, electrical and heating, shall be installed in accordance with all accepted codes.",maint
CMR410.500,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",maint
CMR410.501 A,Weathertight Windows,maint
CMR410.503 A,Protective Railings and Walls - Safe handrail for every stairway,safety
CMR410.551,Screens for Windows - Owner shall provide screens for all windows on the first 4 floors opening directly to the outside; shall be tight fitting; shall cover opening part of window designed to open,maint
CMR410.552,Screens for Doors - Owner shall provide screens for all doorways opening directly to the outside from any dwelling unit or rooming unit; shall be tight fitting; equipped with self-closing device except where screen is designed to slide to the side.,neg
CMR410.602 D,"Maint. of Areas Free from Garbage & Rubbish(Common Areas) - In any dwelling, the owner shall be responsible for maintaining in a clean and sanitary condition free of garbage, rubbish, filth all common areas.",maint
5110.1,Failure to secure permit,rules
1011.2,Illumination,rules
901.2,Fire Protection & Life Safety,safety
1008.1.4.5,Security Grilles,safety
1006.1,Illumination,rules
1008.1.9.1,Door Hardware,rules
5103.1,Maintenance,maint
1021.1.1,Exits Maintained,safety
39a,Sign: COB Zoning Article 11-1,rules
2.04(3),Permits,rules
CMR410.150 A,"Sinks, Toilets, Tubs, Showers - Owner shall provide a toilet, a wash basin, bathtub or shower in another room which is not used for living, sleeping, cooking or eating; room must be fitted with a door capable of being closed",rules
CMR410.151,"Shared Facilities - Sinks, Toilets, Tubs, showers shared by more than 1 unit or 1 rooming unit shall be cleaned and sanitized once every 24 hrs by owner.",neg
CMR410.484,Building Identification - Owner shall to every building a # representing the address.,rules
1008.1.8,Door Operations,rules
102.9,Emergency Exit,safety
907.2.8.2,Automatic Smoke Detection,safety
107.1,Required Inspections,rules
908.1,Testing and Maintenance,rules
903.2,Installation,rules
115.3,Unlawful Continuance,rules
1029.1,Emergency Escape & Rescue,safety
107.3.1,Approval of Documents,rules
10.02,Basic Principles,neg
101.4,Referenced Codes,rules
1011,Exit Signs,safety
107,Submittal Documents,rules
110.27,Guarding of Live parts,safety
314.25,Covers & Canopies,safety
334.3,Securing & Supporting,safety
1025.1,Emergency Escape,safety
248 CMR 10:06,Materials (A) Min. Standards,neg
1001.1,Means of Egress,safety
107.6,Failure to comply with permit,rules
115.5,Final Inspection,rules
CRM410.550 D,"Extermination of Insects, Rodents and Skunks - Extermination shall be accomplished by eliminating the harborage places of insects and rodents.  All use of pesticides shall be in accordance with applicable laws and regulations of the Department of Food and Agricultures Pesticide Board.",maint
CMR410.190,"Hot Water - Facilities for providing a min. temperature of hot water at 110F , max. temperature 130F",rules
CMR410.482 A,"Smoke Detectors & Carbon Monoxide Alarms - Owner shall provide, install and maintain in operable condition smoke detectors and carbon monoxide alarms",safety
CMR410.100 A & B,"Kitchen Facilities - Owner shall provide suitable space to store, prepare and serve foods in a sanitary manner; a kitchen sink, a stove and oven, proper facilities for the use of a refrigerator; facilities shall have smooth and impervious surfaces and be free from defects.",maint
CRM410.550 C,"Extermination of Insects, Rodents and Skunks - The owner of a rooming house shall maintain it and its premises free from all rodent, cockroaches, and insect infestation and shall be responsible for exterminating them ",maint
CMR410.200 A,"Heating Facilities Required - Owner shall provide & maintain in good operating condition the facilities for heating every habitable room and every room containing a toilet, shower or bathtub.",neg
CMR410.450,Means of Egress - As many means of exit as will allow for safe passage.,safety
CMR410.451,Egress Obstruction - No person shall obstruct any exit or passageway.,safety
CMR410.503 C,Protective Railings and Walls - Balusters no more than 6 in. apart between required gaurdrails and open handrails.,safety
CMR410.600 C,Storage of Garbage & Rubbish-Owner of dwelling w/ 3 units or more/rooming house shall provide as many receptacles needed for garbage as are sufficient.  before final collection and be located convenient to the occ that no objectionable odors enter any dwelling,trash
